,question,golden_answer,answer,judge,model
1167,who won women's singles us open 2017,Sloane Stephens,The 2017 US Open Women's Singles was won by Sloane Stephens of the United States.,True,gpt35
1169,when will the flash season 4 episode 14 coming out,"February 27, 2018","The Flash season 4 episode 14 will air on Tuesday, March 13, 2018 at 8/7c on The CW.",False,gpt35
1170,who is the owner of phoenix mall in chennai,Sharyans Resources,Phoenix Marketcity Chennai is owned by the K. Raheja Corp.,False,gpt35
1171,a request to the supreme court that it review a case that was already decided is made via a(n),a writ of certiorari,Petition for a Writ of Certiorari.,True,gpt35
1172,when did the usa join world war one,April 1917,"The United States declared war on Germany on April 6, 1917, officially entering World War I.",True,gpt35
1174,who sings don't take your guns to town,Johnny Cash,Johnny Cash,True,gpt35
1176,who is the young man in hawthorne's my kinsman major molineux,Robin,"The young man in Hawthorne's My Kinsman Major Molineux is Robin Molineux, the protagonist of the story. Robin is a young man from the country who travels to the city in search of his distant relative, Major Molineux.",True,gpt35
1177,when did the nba create the 3 point line,the 1979–80 season,The NBA first introduced the 3-point line in the 1979-80 season.,True,gpt35
1178,what theater number was the aurora shooting in,9,"The Aurora shooting occurred in Theater 9 of the Century 16 movie theater in Aurora, Colorado.",True,gpt35
1179,who played ben stone son on law and order,Michael Moriarty,Ben Stone was played by Michael Moriarty.,True,gpt35
1180,who sang the them song for as told by ginger,Melissa Disney,"The theme song for As Told by Ginger is called ""I Believe"" and it is sung by the pop group M2M.",False,gpt35
1181,where is dia de los muertos celebrated in mexico,the Central and South regions,"?

Dia de los Muertos is celebrated throughout Mexico, but the most famous celebrations take place in the city of Oaxaca, where the festivities include colorful parades, music, and traditional foods. Other popular places to celebrate include Michoacán, Puebla, and Guerrero.",False,gpt35
1183,who wrote the country song i can only imagine,Bart Millard,"The song ""I Can Only Imagine"" was written by Bart Millard of the Christian rock band MercyMe.",True,gpt35
1184,when did university stop being free in australia,1989,"University tuition fees in Australia were first introduced in 1989. The fees were initially capped at A$1,800 per year, but have since risen significantly. In 2020, the average tuition fee for a full-time undergraduate student was A$9,507 per year.",True,gpt35
1185,the first line of http request message is called ____,A request line,The Request Line.,True,gpt35
1186,when did the battle of badr take place,13 March 624,"The Battle of Badr took place on March 17, 624 CE (13 Ramadan, 2 AH).",False,gpt35
1188,who is the supreme justice of the supreme court,John Roberts,The Chief Justice of the United States Supreme Court is John Roberts.,True,gpt35
1189,who wrote i want to dance with somebody by whitney houston,George Merrill,"The song ""I Wanna Dance with Somebody (Who Loves Me)"" was written by George Merrill and Shannon Rubicam.",True,gpt35
1190,the fellowship of the ring director's cut length,228 minutes,The Fellowship of the Ring Director's Cut has a runtime of 208 minutes (3 hours and 28 minutes).,False,gpt35
1192,what song is played while raising the american flag,Reveille,"The song typically played while raising the American Flag is the ""Star-Spangled Banner,"" the national anthem of the United States.",False,gpt35
1193,who won la liga in the last 10 years,Real Madrid,"The following teams have won the La Liga title in the last 10 years:

1. Barcelona (2010–11, 2012–13, 2014–15, 2015–16, 2017–18, 2018–19)

2. Real Madrid (2011–12, 2016–17, 2019–20)

3. Atletico Madrid (2013–14)",True,gpt35
1194,during which season does cape town receive rainfall,winter,"Cape Town receives rainfall during the winter season, which runs from May to August.",True,gpt35
1196,who sings my anaconda don't want none,Sir Mix-a-Lot,My Anaconda Don't by Nicki Minaj,False,gpt35
1197,who sang i ran all the way home,The Impalas,"The song ""I Ran (So Far Away)"" was written and performed by the British new wave band A Flock of Seagulls.",False,gpt35
1199,capital of georgia the former soviet republic 7 letters,Tbilisi,TBILISI,True,gpt35
1201,who sang i dig rock and roll music,"Peter, Paul and Mary","Peter, Paul and Mary",True,gpt35
1202,what is the meaning of cc and bcc,Carbon copy,"CC stands for carbon copy, and BCC stands for blind carbon copy. When you CC someone on an email, it means that person will see the email address of everyone else who was sent the email. When you BCC someone, they will not see the email addresses of everyone else who was sent the email.",True,gpt35
1203,the victim was asking for it is an example of a,Victim blaming,"rape myth

Rape myths are false beliefs and stereotypes about sexual assault that are used to excuse or minimize the crime. This particular statement is a classic example of a rape myth, as it implies that the victim is somehow responsible for the assault. This is completely untrue, and is a dangerous and damaging attitude to have towards sexual assault.",True,gpt35
1204,what is the name of a camel with 2 humps,Bactrian,Bactrian camel,True,gpt35
1206,who plays big momma in big mommas house,Ella Mitchell,Martin Lawrence plays Big Momma in Big Momma's House.,True,gpt35
1207,who received the most (but not a majority of) electoral votes in 1824,Andrew Jackson,"John Quincy Adams received the most electoral votes in 1824 with 84 votes. Andrew Jackson received 99 electoral votes, but not a majority of the electoral votes.",True,gpt35
1208,who plays the walking boss in cool hand luke,Morgan Woodward,The Walking Boss in Cool Hand Luke is played by Strother Martin.,False,gpt35
1209,what is the third book in the lunar chronicles,Cress,The third book in the Lunar Chronicles series is Cress.,True,gpt35
1210,how many seasons of rules of engagement is there,7,There are seven seasons of Rules of Engagement.,True,gpt35
1212,who won the super heavyweight gold medal at the 2000 olympics,Audley Harrison,The super heavyweight gold medal at the 2000 Olympics was won by Russian boxer Alexander Lebziak.,False,gpt35
1213,where can i get a state issued id,each state's DMV,You can get a state-issued ID at your local Department of Motor Vehicles (DMV).,True,gpt35
1214,who is the ceo of what's up,Jan Koum,The CEO of WhatsApp is Will Cathcart.,False,gpt35
1215,where does cerebrospinal fluid flow to when it exits the cerebral aqueduct,the fourth ventricle,"Cerebrospinal fluid exits the cerebral aqueduct and flows into the fourth ventricle, which is a cavity in the brain. From there, it flows into the central canal of the spinal cord and then is absorbed into the bloodstream.",True,gpt35
1216,who translated the play neel darpan into english,Michael Madhusudan Dutta,The play Neel Darpan was translated into English by Tarashankar Bandopadhyay.,False,gpt35
1217,under the federal unemployment tax act which party pays unemployment taxes,Employers,Employers pay unemployment taxes under the Federal Unemployment Tax Act (FUTA).,True,gpt35
1218,what is the oldest street in the philippines,Cebu City,"The oldest street in the Philippines is Calle Real (Royal Street), located in the city of Vigan in Ilocos Sur. It was built in 1590 by Spanish conquistador Juan de Salcedo, making it the oldest street in the country.",False,gpt35
1220,in florida it is illegal to sell alcohol before 1 pm on any sunday. this is an example of,Blue laws,"a 

regulatory law.",False,gpt35
1222,what class of ship is the carnival glory,Conquest,The Carnival Glory is a Conquest-class cruise ship.,True,gpt35
1224,when did mcdonald's sell 1 million burgers,By 1965,"McDonald's sold its one millionth burger in 1958, just three years after the fast-food chain opened its first restaurant.",False,gpt35
1225,when did the united states host the world cup,1994,The United States hosted the FIFA World Cup in 1994.,True,gpt35
1226,who played mike stivic on all in the family,Rob Reiner,Rob Reiner played Mike Stivic on All in the Family.,True,gpt35
1227,the secret of crickley hall how many episodes,3,"The BBC One drama series ""The Secret of Crickley Hall"" consists of three episodes.",True,gpt35
1228,who sang what i like about you originally,The Romantics.,"The song ""What I Like About You"" was originally performed by the American rock band The Romantics.",True,gpt35
1231,who is the first indian who got oscar for lifetime achievement,Mehboob Khan,"The first Indian to receive an Oscar for lifetime achievement was Satyajit Ray, who won the award in 1992.",False,gpt35
1232,when did the ship hector arrived in pictou,1773,"The Ship Hector arrived in Pictou, Nova Scotia on July 15th, 1773.",True,gpt35
1234,who played peter benton's sister on er,Jackie Robbins,Peter Benton's sister was played by actress Sheryl Lee Ralph.,False,gpt35
1235,who sang on the back in black album,Brian Johnson,The lead singer and songwriter of the album Back in Black is Brian Johnson.,True,gpt35
1236,who played gareth in four weddings and a funeral,Simon Callow,Simon Callow,True,gpt35
1237,who is the actor that plays saul on grace and frankie,Sam Waterston,The actor that plays Saul on Grace and Frankie is Ethan Embry.,False,gpt35
1238,who sang the song oh what a lonely boy,Andrew Gold,"The song ""Oh What a Lonely Boy"" was originally performed by the American rock band Dashboard Confessional.",False,gpt35
1239,who won the 2017 ncaa mens basketball tournament,North Carolina,"?

The 2017 NCAA Men's Basketball Tournament was won by the University of North Carolina Tar Heels.",True,gpt35
1240,when was christmas first celebrated as a holiday,336,Christmas was first celebrated as a holiday in the 4th century by Roman Catholic Church.,True,gpt35
1241,how many plane surfaces does a cylinder have,two parallel planes,A cylinder has three plane surfaces: two circular bases and one curved lateral surface.,True,gpt35
1242,in which city are the wimbledon game held,London,"The Wimbledon tennis tournament is held in London, England.",True,gpt35
1243,who played the first phantom of the opera,Michael Crawford,"The original Phantom of the Opera was portrayed by French actor, Marcel Marceau. He made his debut in the original 1925 silent film adaptation of Gaston Leroux's novel.",False,gpt35
1245,why does cooling water run through the condenser,condense the steam,"Cooling water runs through the condenser in order to remove heat from the condensing medium, typically a refrigerant or other fluid. The heat is then dissipated into the atmosphere or into a cooling tower. This helps to maintain the desired temperature of the condensing medium, which is necessary for efficient operation of the system.",True,gpt35
1246,when does a cell have condensed visible chromosomes also known as sister chromatids,metaphase,Sister chromatids are visible in a cell during metaphase of the cell cycle. This is when the chromosomes are condensed and highly visible.,True,gpt35
1247,who played bat masterson in the tv series,Gene Barry,Gene Barry,True,gpt35
1249,who played caesar in planet of the apes war,Andy Serkis,"for the planet of the apes

ulldy Serkis",True,gpt35
1250,when did men's curling start in the olympics,1924,"Men's curling was first included as a medal event at the Winter Olympics in 1998 in Nagano, Japan.",True,gpt35
1251,which hormone is released from the ruptured follicle or corpus luteum,estrogen,The hormone released from the ruptured follicle or corpus luteum is progesterone.,True,gpt35
1253,what was hawaii's primary export to the united states,macadamia nuts,"in the 19th century?

Hawaii's primary export to the United States in the 19th century was sugar.",False,gpt35
1254,what is katie running from in safe haven,her abusive husband,Katie is running from a violent and abusive past. She had been in an abusive relationship with her husband and was trying to escape from him.,True,gpt35
1255,who sings i will go down with this ship,Dido,"The song ""I Will Go Down with This Ship"" is performed by the band Silverstein.",False,gpt35
1256,where does the last name hidalgo come from,Spanish,"The last name Hidalgo is of Spanish origin and is derived from the Spanish word hidalgo, which means ""nobleman."" The name was originally given to nobles of the Spanish court and is now used as a surname throughout the Spanish-speaking world.",True,gpt35
1257,jonny cash one piece at a time car,Cadillac,"The Johnny Cash song ""One Piece at a Time"" is about a factory worker who builds himself a Cadillac by stealing parts from the factory he works in, one piece at a time. The song was released in 1976 and was a Billboard Top 10 hit.",True,gpt35
1258,when was the canadian pacific railway started and finished,between 1881 and 1885,The Canadian Pacific Railway was started in 1881 and was completed in 1885.,True,gpt35
1259,who built pedestrian bridge at florida international university,Munilla Construction Management,The pedestrian bridge at Florida International University was designed by FIGG Bridge Engineers and built by Munilla Construction Management.,True,gpt35
1260,band who had a hit with heart and soul crossword,British pop band T'Pau,"The band is Huey Lewis and the News and the song is ""The Power of Love"".",False,gpt35
1261,the german princes who chose the holy roman empire were called,prince-electors,"Electors. The Electors were the seven prince-electors of the Holy Roman Empire who had the power to elect the Holy Roman Emperor. The seven Electors were the Archbishops of Mainz, Cologne, and Trier; the Count Palatine of the Rhine; the Duke of Saxony; the Margrave of Brandenburg; and the King of Bohemia.",True,gpt35
1262,where does the name de la rosa come from,Spanish,"The name De La Rosa is of Spanish origin, and is derived from the Latin phrase de la rosa, meaning ""of the rose"". The name is likely to have referred to a person who was associated with roses, either through their occupation or through the use of roses in a personal crest or coat of arms.",True,gpt35
1263,who sang i knew the bride when she used to rock and roll,Dave Edmunds,"The song ""I Knew the Bride (When She Used to Rock 'n' Roll)"" was written and performed by Nick Lowe.",False,gpt35
1264,when did the first ninja turtles come out,1984,The Teenage Mutant Ninja Turtles first appeared in an American comic book published in May 1984.,True,gpt35
1265,what song did the titanic band play when it sank,"""Autumn""","The band played ""Nearer, My God, to Thee"" as the Titanic sank.",False,gpt35
1266,when was the wheel introduced to north america,about 1500 BC,The wheel was introduced to North America by European settlers in the early 17th century.,False,gpt35
1267,most home runs by 2 teammates in a season,115,"The most home runs by two teammates in a single season is 115, set by Los Angeles Dodgers teammates Cody Bellinger and Max Muncy in 2019.",True,gpt35
1268,season 2 attack on titan how many episodes,12,Season 2 of Attack on Titan has a total of 12 episodes.,True,gpt35
1269,actor who plays dr avery on grey's anatomy,Jesse Wesley Williams,Jesse Williams,True,gpt35
1270,who played buffy the vampire slayer in the movie,Kristy Swanson,Kristy Swanson played Buffy the Vampire Slayer in the 1992 movie of the same name.,True,gpt35
1271,who won season 2 of great british baking show,Joanne Wheatley,The winner of Season 2 of The Great British Baking Show was John Whaite.,False,gpt35
1272,how long did the menendez brothers get in prison for killing their parents,life imprisonment,The Menendez brothers were sentenced to two consecutive life sentences without the possibility of parole for the 1989 murder of their parents.,True,gpt35
1273,who does marge's voice on the simpsons,Julie Deborah Kavner,Marge Simpson is voiced by Julie Kavner.,True,gpt35
1274,what is the general structure of an url,a protocol,"The general structure of a URL is:

[protocol]://[hostname/IP address]/[path]?[query string]#[fragment]

[protocol] - The protocol used to access the resource, such as HTTP, HTTPS, FTP, etc.

[hostname/IP address] - The domain name or IP address of the server hosting the resource.

[path] - The path to the resource on the",True,gpt35
1275,who owned the colts when they left baltimore,Robert Irsay,The team was owned by Robert Irsay when they left Baltimore in 1984.,True,gpt35
1276,who wrote the phantom of the opera music,Andrew Lloyd Webber,The music for The Phantom of the Opera was composed by Andrew Lloyd Webber.,True,gpt35
1277,when did the first movie of harry potter come out,16 November 2001,"The first movie in the Harry Potter series, Harry Potter and the Philosopher's Stone, was released on November 16, 2001.",True,gpt35
1278,where do secondary xylem and phloem cells arise from,The vascular cambium,"Secondary xylem and phloem cells arise from the cambium, a tissue of actively dividing cells located between the xylem and phloem.",True,gpt35
1279,when did earth's atmosphere change due to living organisms,around 2.45 billion years ago,The Earth's atmosphere changed about 2.4 billion years ago when oxygen-producing photosynthetic organisms began to appear. This event is known as the Great Oxygenation Event (GOE).,True,gpt35
1280,who played the dad in a christmas story,Darren McGavin,"Darren McGavin played the role of the father, ""The Old Man,"" in the 1983 holiday classic A Christmas Story.",True,gpt35
1281,where was the first sonic drive in located,"Woodward, Oklahoma","The first Sonic Drive-In restaurant was opened on June 18, 1953, in Shawnee, Oklahoma, by Troy Smith Sr. and partner Charles Pappe.",False,gpt35
1282,who voices hiccup in how to train your dragon 2,Jay Baruchel,Jay Baruchel,True,gpt35
1283,where is the battle of britain flight based,RAF Coningsby in Lincolnshire,"The Battle of Britain Flight is based at the Royal Air Force (RAF) Coningsby in Lincolnshire, England.",True,gpt35
1284,when is i can only imagine coming out,"March 16, 2018","I Can Only Imagine was released in theaters in the United States on March 16, 2018.",True,gpt35
1285,who sings the song rock you like a hurricane,German rock band Scorpions,"The song ""Rock You Like a Hurricane"" was released by the German hard rock band Scorpions in 1984.",True,gpt35
1286,who has the most conference championships in college basketball,Kansas,The UCLA Bruins have the most conference championships in college basketball with 18 titles.,False,gpt35
1287,which is the tallest building in the world 2018,Burj Khalifa in Dubai,"The tallest building in the world in 2018 is the Burj Khalifa in Dubai, United Arab Emirates. The building stands at 828 meters (2,717 feet) tall.",True,gpt35
1288,vapor pressure of water at 100c in torr,759.9625,The vapor pressure of water at 100°C is 760.00 torr.,True,gpt35
1289,the plane of earth's orbit is called the,ecliptic,ecliptic.,True,gpt35
1290,when is the strictly come dancing results show recorded,Saturday,The Strictly Come Dancing results show is recorded on Saturday evenings and then broadcast on Sunday evenings.,True,gpt35
1291,who sang the song brother let me be your shelter,Needtobreathe,"The song ""Brother Let Me Be Your Shelter"" was sung by American rock band Collective Soul.",False,gpt35
1292,what percent of the us population controls the wealth,1%,Approximately 1% of the US population controls 40% of the wealth.,True,gpt35
1293,what languages are spoken in india the most,Bengali,"The most widely spoken languages in India are Hindi, Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Kannada, Malayalam, Oriya, Punjabi, Assamese, and Sanskrit.",True,gpt35
1294,where does iron ore come from in australia,Western Australia,"Iron ore in Australia is mined primarily in Western Australia, followed by the Northern Territory and South Australia. The majority of iron ore mined in Australia comes from the Pilbara region of Western Australia, which is one of the world’s major iron ore producing regions. Other major iron ore producing regions in Australia include the Hamersley province in the north of Western Australia and the Yilgarn region in the south of Western Australia.",True,gpt35
1295,when was i can only imagine the song released,1999,"The song ""I Can Only Imagine"" was released in 1999.",True,gpt35
1296,when did gaurdians of the galaxy 2 come out,2017,"Guardians of the Galaxy Vol. 2 was released on May 5, 2017.",True,gpt35
1297,hart of dixie season 4 how many episodes,10,There are 22 episodes in Season 4 of Hart of Dixie.,False,gpt35
1298,who wrote old flames cant hold a candle to you,Pebe Sebert,Old Flames Can't Hold a Candle to You was written by Hank DeVito and Eddie Setser.,False,gpt35
1299,who plays the robot maid in richie rich,Brooke Wexler,The robot maid in Richie Rich is played by Chelcie Ross.,False,gpt35
1300,who plays harry's mom in harry potter,Geraldine Margaret Agnew-Somerville,Harry's mother is portrayed by actress Emma Watson in the Harry Potter film series.,False,gpt35
1301,who sang you'll be a woman soon in pulp fiction,rock band Urge Overkill,"The song ""You'll Be a Woman Soon"" in Pulp Fiction was performed by Urge Overkill.",True,gpt35
1302,where does a roadrunner live in the desert,mountainous shrubland,"Roadrunners live in deserts, scrublands, and open woodlands throughout the southwestern United States and Mexico. They are most commonly found in the Sonoran, Chihuahuan, and Mojave deserts.",False,gpt35
1303,who was the first president of the constituent assembly,Dr. Rajendra Prasad,The first president of the Constituent Assembly of India was Dr. Sachchidanullda Sinha. He was appointed on 9 December 1946.,False,gpt35
1305,when did first fast and furious come out,2001,The first Fast and Furious movie was released in June 2001.,True,gpt35
1306,when does season 5 of the blacklist resume,"January 31, 2018","The fifth season of The Blacklist is scheduled to resume on Friday, April 17, 2020.",False,gpt35
1307,when do mr schuester and emma get together,the fourth season,Mr. Schuester and Emma get together in the final episode of Season 3 of Glee.,False,gpt35
1309,where was the u.s.s maine when it exploded in 1898,Havana Harbor,"The U.S.S Maine was in Havana Harbor, Cuba, when it exploded in 1898.",True,gpt35
1310,in the honour of which god is anullt chaturdashi celebrated,Ganesh,Anullt Chaturdashi is celebrated in honor of Lord Vishnu.,False,gpt35
1311,which central american nations border the pacific ocean and the caribbean sea,Nicaragua,"The Central American nations that border the Pacific Ocean and the Caribbean Sea are Costa Rica, El Salvador, Guatemala, Honduras, and Nicaragua.",True,gpt35
1312,what kind of sentence contains an independent clause and a dependent clause,A complex sentence,"A sentence containing an independent clause and a dependent clause could be: ""Although she was tired, she went to the store.""",False,gpt35
1313,what was the book wealth of nations about,what builds nations' wealth,"The Wealth of Nations, written by Adam Smith, is an iconic work of economic theory that examines the production and distribution of wealth in a capitalist system. The book examines the concepts of free trade, labor, and capital, and how they interact with each other in a market economy. It also looks at the role of government in the economy and how its policies can influence the wealth of a nation.",True,gpt35
1314,when will the flash season 4 be released,"October 10, 2017","The Flash Season 4 is scheduled to premiere on Tuesday, October 10, 2017.",True,gpt35
1315,what is australia's location in the world and region,Oceania,Australia is located in the Southern Hemisphere of the world and is part of the Oceania region.,True,gpt35
1316,who does luke skywalker fall in love with,Mara Jade,Luke Skywalker falls in love with Princess Leia Organa.,False,gpt35
1317,who was the original host of jokers wild,Jack Barry,The original host of Joker's Wild was Jack Barry.,True,gpt35
1318,which organelle is the site of atp production and storage,mitochondrion,The mitochondria is the organelle that is the site of ATP production and storage.,True,gpt35
1319,five tools of security management to overcome computer crime,Pre-evaluation,"1. Access Control: Access control is the process of limiting access to a computer system or network to authorized users. Access control can be implemented through a variety of methods, such as passwords, biometrics, two-factor authentication, and encryption.

2. Data Encryption: Data encryption is the process of transforming data into an unreadable form, making it difficult for unauthorized users to access and read the data.

3. Firewalls: Firewalls are security",False,gpt35
1320,who sang what are we doing in love,Dottie West,"The song ""What Are We Doing in Love"" was originally recorded by Dottie West and Jim Ed Brown in 1974.",True,gpt35
1321,at what age are you no longer a toddler,36 months,"Most people consider a toddler to be a child between the ages of 1 and 3 years old. After age 3, a child is no longer considered a toddler.",True,gpt35
1322,how many episodes are there in ordeal by innocence,three part,"There are eight episodes in the BBC adaptation of Agatha Christie's novel ""Ordeal by Innocence"".",False,gpt35
1323,who played the hobbits in the lord of the rings,Dominic Monaghan,"The hobbits in the Lord of the Rings were played by Elijah Wood as Frodo Baggins, Sean Astin as Samwise Gamgee, Billy Boyd as Peregrin Took, Dominic Monaghan as Meriadoc Brandybuck, and Orlando Bloom as Legolas.",True,gpt35
1324,what does fancy dress mean in the uk,A costume,"In the UK, fancy dress typically refers to wearing a costume or outfit to a party or event. It usually involves dressing up in a humorous, creative, or outlandish outfit.",True,gpt35
1325,how many seasons of the bastard executioner are there,one,"There is only one season of The Bastard Executioner, which aired in 2015.",True,gpt35
1327,who does the democratic republic of congo trade with,Group of 77,"The Democratic Republic of the Congo trades with countries such as China, South Africa, the United States, Belgium, France, and the United Kingdom. It also has trade agreements with Angola, Burundi, Central African Republic, Rwanda, and Uganda.",True,gpt35
1328,what was the purpose of the bantu education act,enforcing racially separated educational facilities,The Bantu Education Act of 1953 was a South African law designed to segregate and control the education of black South Africans. It was part of the Apartheid system of racial segregation and was intended to ensure that black South Africans received an inferior education compared to white South Africans. The Act led to the establishment of separate educational facilities for black and white students and allowed the government to control the curriculum and hiring of teachers.,True,gpt35
1329,what type of snake is kaa in jungle book,Indian rock python,Kaa is a Indian Rock Python in the Jungle Book.,True,gpt35
1330,what is the snow on mars made of,water ice,The snow on Mars is made of carbon dioxide (CO2).,True,gpt35
1331,when does elena turn into a vampire in the tv series,season four,"In the TV series, Elena Gilbert turns into a vampire in the season 4 finale, which aired on May 16, 2013.",True,gpt35
1332,who gets first pick of fa cup games,BBC,"The FA Cup draw is completely random, so there is no way to determine who will get the first pick of FA Cup games.",False,gpt35
1333,what part of dc is howard university in,in northwest Washington,"Howard University is located in the Northwest quadrant of Washington, D.C.",True,gpt35
1334,what is the first covenullt in the old testament,the Noahic Covenullt,"The first covenullt in the Old Testament is the covenullt between God and Abraham, also known as the Abrahamic Covenullt. This covenullt was established when God promised Abraham that his descendants would be as numerous as the stars in the sky, and that he would be the father of many nations.",False,gpt35
1335,who sings the theme song for living single,Queen Latifah,"The theme song for Living Single is called ""I'm Gonna Make You Mine"" and it is performed by En Vogue.",False,gpt35
1336,who said life is like a bowl of cherries,Lew Brown,"The phrase ""life is like a bowl of cherries"" is often attributed to American singer, songwriter, and actor Bing Crosby, although it has never been definitively proven.",False,gpt35
1337,where is fort myers located at in florida,Lee County,"Fort Myers is located in Southwest Florida, along the Gulf Coast of the state. It is in Lee County, and is about 120 miles south of Tampa and about 130 miles west of Miami.",True,gpt35
1338,state the position of india in terms of population size,second,"India is the second most populous country in the world, with a population of over 1.3 billion people. It accounts for 17.7% of the world's population, behind only China, which has a population of 1.4 billion people.",True,gpt35
1339,who became a leader of the indian national congress,Mahatma Gandhi,Mahatma Gandhi (1869–1948) is widely regarded as the leader of the Indian National Congress and the architect of India's independence from British colonial rule. He was the preeminent leader of the Indian independence movement in British-ruled India.,True,gpt35
1340,winner of worst cooks in america season 5,Amber Brauner,Chef Ariel Robinson won season 5 of Worst Cooks in America.,False,gpt35
1341,what is the filename extension used for all java source files,.java,"The filename extension used for all Java source files is "".java"".",True,gpt35
1342,who cracked the enigma code in world war 2,Turing,"The German Enigma code was cracked by a team of mathematicians and codebreakers at Bletchley Park in England during World War II. The team, led by Alan Turing, used a combination of mathematical analysis and technology to decipher the code.",True,gpt35
1343,what is the job of the whip in congress,to ensure party discipline,"The Whip is a member of the majority party in Congress who is responsible for ensuring that members of the party are present to vote on important issues. The Whip's job is to count votes, inform members of upcoming votes, and convince members to vote in the party's favor. The Whip is also responsible for coordinating the party's message and legislative agenda.",True,gpt35
1346,how many house of representative do we have in nigeria,360,There are 360 members of the House of Representatives in Nigeria.,True,gpt35
1347,who was the actor who played grizzly adams,"""Dan"" Haggerty","Dan Haggerty played Grizzly Adams in the 1974 film, The Life and Times of Grizzly Adams.",True,gpt35
1348,who sings blame it on the bossa nova,Eydie Gormé,"The song ""Blame It On the Bossa Nova"" was written by Cynthia Weil and Barry Mann and was originally sung by Eydie Gormé in 1963.",True,gpt35
1349,who is the supreme court judge was a former chief justice of kerala high court,Konakuppakatil Gopinathan Balakrishnull,The former Chief Justice of Kerala High Court is Justice Antony Dominic.,False,gpt35
1350,who has won more grand slam titles in tennis,Roger Federer,"The record for most Grand Slam singles titles is held by Roger Federer, with 20 titles. He is followed by Rafael Nadal, with 19 titles.",True,gpt35
1351,how many times has the saints won the super bowl,1,"The New Orleans Saints have won the Super Bowl once, in 2010.",True,gpt35
1353,how many gold medals did australia win in the 2000 olympics,16,Australia won 58 gold medals in the 2000 Olympics.,False,gpt35
1354,where is the eagle creek fire located in oregon,Cascade Locks,The Eagle Creek Fire is located in the Columbia River Gorge in the Hood River and Multnomah Counties of Oregon.,True,gpt35
1355,different ways to spell corey for a boy,Coire,"1. Cory
2. Correy
3. Cori
4. Corrie
5. Coree
6. Coreigh
7. Coriye
8. Corri
9. Corry
10. Kori",True,gpt35
1356,who sang the song should have been a cowboy,Toby Keith,"The song ""Should Have Been a Cowboy"" was written and recorded by Toby Keith.",True,gpt35
1357,how many counties does the state of georgia have,159,159.,True,gpt35
1358,who sang picking up pebbles and throwing them into the sea,Matt Flinders,"This is a line from the song ""The Sea"" by Morcheeba.",False,gpt35
1359,who made the most free throws in nba history,Karl Malone,"Kareem Abdul-Jabbar made the most free throws in NBA history, with 8,839.",False,gpt35
1360,which is the ring finger for male in india,the left ring finger,"In India, the ring finger for males is the fourth finger on the right hand.",True,gpt35
1361,what disney cartoon character's middle name is fauntleroy,Donald Duck,The Disney cartoon character with the middle name Fauntleroy is Scrooge McDuck.,False,gpt35
1362,who played king theoden in lord of the rings,Bernard Hill,King Theoden was portrayed by actor Bernard Hill in the Lord of the Rings film trilogy.,True,gpt35
1363,dark parables return of the salt princess release date,September 2017,"The official release date for Dark Parables: Return of the Salt Princess is November 28, 2018.",False,gpt35
1364,where was the movie 500 days of summer filmed,Los Angeles,"The movie 500 Days of Summer was filmed in Los Angeles, California.",True,gpt35
1365,who played emma in h2o just add water,Claire Rhiannon Holt,The character of Emma Gilbert was played by Claire Holt.,True,gpt35
1366,where can carbon be found in the biosphere,other living organisms,"Carbon can be found in the biosphere in the form of carbon dioxide in the atmosphere, organic compounds in living organisms, and dissolved in the oceans.",True,gpt35
1368,where was the outlaw of josey wales filmed,"Kanab, Utah","The Outlaw Josey Wales was filmed in various locations in Texas and California, including Big Bend National Park and Monument Valley.",False,gpt35
1369,who plays the dad in the new beauty and the beast,Kevin Kline,The dad in the new Beauty and the Beast is played by Kevin Kline.,True,gpt35
1370,where does the saskatchewan river start and end,central Saskatchewan,"The Saskatchewan River starts in the Rocky Mountains of Alberta, Canada and ends in Lake Winnipeg in Manitoba, Canada.",False,gpt35
1371,where are the spanish steps located in italy,Rome,"The Spanish Steps are located in Rome, Italy.",True,gpt35
1372,what does the m number mean on a pint glass,imperial fluid ounces,The M number on a pint glass is a unique identification number assigned to the glass by the manufacturer. It is used to identify the specific pint glass for ordering and inventory purposes.,False,gpt35
1373,other than water what else has hydrogen bonds,inorganic molecules such as water,"Common substances that contain hydrogen bonds include proteins, DNA, carbohydrates, alcohols, and many other organic molecules.",False,gpt35
1374,when boy meets girl waiting for a star to fall,1988,"Boy, you could be my lucky star
I'll be wishing on tonight
For a dream to come alive
ulld you could be the one I love
ulld I could be the one you're thinking of
ulld when you look into my eyes
You'll see a world of possibilities
Waiting for a star to fall
ulld carry your heart into my arms
That's where you belong",False,gpt35
1375,trick taking card game name derived from spanish for man,Skat,Tute (or Tuti),False,gpt35
1376,what percentage of the population is naturally blonde,2%,Approximately 2 percent of the world's population has naturally blonde hair.,True,gpt35
1378,who sang first line of we are the world,Lionel Richie,"The first line of We Are The World is sung by Lionel Richie and is:

""There comes a time when we heed a certain call""",True,gpt35
